id,date,hour_local,lat,lon,quality_grade,month,year,day_of_year,temp_f,humidity,wind_mph,solar_radiation,cloud_cover
19022759,2009-03-12,,37.8052370966,-122.4770580238,research,3,2009,71,48.2,96,3.2,267.0,100
19022720,2009-03-26,,37.789326379,-122.4791866285,research,3,2009,85,54.6,77,9.7,428.0,5
13586717,2010-03-18,22.0,37.7993289825,-122.4802143533,research,3,2010,77,59.6,54,7.9,0.0,0
19022789,2010-03-19,,37.7982452889,-122.480657301,research,3,2010,78,62.5,41,5.6,432.0,0
12725,2010-04-24,,37.7523600023,-122.4707794189,research,4,2010,114,53.9,69,6.0,596.0,0
65050246,2011-05-03,13.0,37.7466114394,-122.4691718819,research,5,2011,123,60.5,56,3.8,977.0,0
215209,2013-03-09,15.0,37.748813,-122.471466,research,3,2013,68,57.1,60,8.8,762.0,0
217546,2013-03-16,,37.7522534039,-122.4707633257,research,3,2013,75,51.7,75,3.7,359.0,19
380673,2013-04-09,14.0,37.798128,-122.480553,research,4,2013,99,69.3,30,13.0,925.0,0
241468,2013-04-20,10.0,37.7488333333,-122.4715,research,4,2013,110,57.9,62,4.1,574.0,0
574820,2014-03-18,19.0,37.8052943,-122.4278322,casual,3,2014,77,58.7,59,6.8,120.0,0
591787,2014-03-20,21.0,37.7880172729,-122.4803695679,research,3,2014,79,53.6,83,6.3,0.0,85
581222,2014-03-21,12.0,37.791183,-122.484261,research,3,2014,80,57.5,66,4.8,722.0,29
577738,2014-03-21,14.0,37.7912333333,-122.48407,research,3,2014,80,61.1,59,6.9,847.0,7
583379,2014-03-24,14.0,37.788028,-122.478715,research,3,2014,83,64.1,56,5.9,819.0,17
587354,2014-03-28,12.0,37.7922333333,-122.4834833333,research,3,2014,87,62.4,66,11.1,469.0,75
587361,2014-03-28,12.0,37.7913966667,-122.4837583333,research,3,2014,87,62.3,66,11.1,469.0,75
587596,2014-03-28,13.0,37.7910583333,-122.4841833333,research,3,2014,87,63.1,63,11.5,482.0,98
