latitude,longitude,public_positional_accuracy,scientific_name,common_name
37.7834663391,-122.5107269287,10,Claytonia perfoliata,miner's lettuce
37.7835197449,-122.5102615356,10,Diplacus aurantiacus,orange bush monkeyflower
37.7841529846,-122.5089416504,5,Polypodium scouleri,leathery polypody
37.7846221924,-122.5065689087,10,Fragaria chiloensis,beach strawberry
37.7856483459,-122.5052871704,5,Polystichum munitum,western sword fern
37.7869148254,-122.5052185059,5,Ribes sanguineum,Red-flowering Currant
37.7871322632,-122.5051116943,30,Dudleya farinosa,Bluff Lettuce
37.7858810425,-122.5043029785,30,Rubus ursinus,trailing blackberry
37.7526741028,-122.447479248,10,Phacelia californica,California phacelia
37.8063583374,-122.4503936768,30,Abronia umbellata,Pink Sand Verbena
37.7577483618,-122.4396282112,10,Claytonia perfoliata,miner's lettuce
37.7617683411,-122.4055023193,5,Heteromeles arbutifolia,Toyon
37.808633,-122.471786,5,Scrophularia californica,California beeplant
37.808673,-122.471926,5,Oenanthe sarmentosa,water parsley
37.808739,-122.472096,5,Heracleum maximum,common cowparsnip
37.808751,-122.472155,28329,Erythranthe guttata,seep monkeyflower
37.808777,-122.472227,5,Vicia gigantea,giant vetch
37.808881,-122.472814,5,Ceanothus thyrsiflorus,blueblossom
37.80892,-122.47315,5,Fragaria chiloensis,beach strawberry
37.809223,-122.475678,5,Lupinus arboreus,coastal bush lupine
37.809414,-122.476107,5,Erigeron glaucus,seaside daisy
37.7938059196,-122.4468970153,16,Claytonia perfoliata,miner's lettuce
37.755408,-122.444902,5,Heracleum maximum,common cowparsnip
37.755078,-122.445128,5,Scrophularia californica,California beeplant
37.755032,-122.445175,5,Toxicodendron diversilobum,Pacific poison oak
37.754646,-122.445267,5,Sidalcea malviflora,checkerbloom
37.754477,-122.445408,5,Eriogonum latifolium,Seaside Buckwheat
37.754396,-122.445386,5,Pseudognaphalium californicum,California cudweed
37.754793,-122.445288,5,Calystegia subacaulis subacaulis,
37.7542,-122.445588,5,Calystegia purpurata purpurata,Pacific false bindweed
37.754231,-122.44583,5,Artemisia californica,California sagebrush
37.7544553205,-122.4461284271,5,Eschscholzia californica,California poppy
37.754459,-122.446306,5,Baccharis pilularis,coyote brush
37.754303,-122.446616,5,Hesperocyparis macrocarpa,Monterey Cypress
37.75429,-122.446606,5,Ceanothus thyrsiflorus,blueblossom
37.75401,-122.446909,5,Eriophyllum staechadifolium,seaside woolly sunflower
37.753922,-122.447277,5,Fragaria chiloensis,beach strawberry
37.753532,-122.447171,5,Erigeron glaucus,seaside daisy
37.753245,-122.447583,5,Monardella villosa,Coyote Mint
37.753059,-122.447479,5,Phacelia californica,California phacelia
37.754234,-122.445838,10,Eschscholzia californica,California poppy
37.769334,-122.466202,5,Erythranthe guttata,seep monkeyflower
37.769633,-122.466696,5,Fragaria chiloensis,beach strawberry
37.769434,-122.466231,5,Fragaria chiloensis,beach strawberry
37.769352,-122.466378,5,Fragaria chiloensis,beach strawberry
37.805409,-122.466631,5,Lupinus chamissonis,Chamisso Bush Lupine
37.805638,-122.466535,5,Artemisia pycnocephala,coastal sagewort
37.80573,-122.466527,10,Abronia latifolia,Yellow Sand Verbena
37.805935,-122.466147,10,Camissoniopsis cheiranthifolia,beach suncup
37.7692,-122.464738,5,Quercus agrifolia,coast live oak
37.769042,-122.465637,5,Achillea millefolium,common yarrow
37.769266,-122.465621,5,Eschscholzia californica,California poppy
37.76924,-122.465611,5,Erythranthe cardinalis,scarlet monkeyflower
37.768831,-122.465909,5,Erigeron glaucus,seaside daisy
37.769789,-122.466993,5,Fragaria chiloensis,beach strawberry
37.769449,-122.464981,5,Quercus agrifolia,coast live oak
37.799443706,-122.4510410428,8,Quercus agrifolia,coast live oak
37.7688950163,-122.4655797596,5,Marah fabacea,California manroot
37.743199,-122.415567,5,Ceanothus thyrsiflorus,blueblossom
37.74329,-122.414392,5,Eschscholzia californica,California poppy
37.751582,-122.446544,5,Dipterostemon capitatus,Blue Dicks
37.751831,-122.446632,5,Sidalcea malviflora,checkerbloom
37.750913,-122.448257,5,Lupinus albifrons,Silver Bush Lupine
37.749038,-122.446022,5,Solidago spathulata,coast goldenrod
37.755752,-122.445813,15,Arabis blepharophylla,Coast Rockcress
37.740103,-122.441541,5,Ribes sanguineum,Red-flowering Currant
37.741802,-122.441456,5,Eschscholzia californica,California poppy
37.7419986902,-122.4433916343,5,Diplacus aurantiacus,orange bush monkeyflower
37.741843,-122.441375,5,Wyethia angustifolia,narrowleaf mule-ears
37.742155,-122.443164,5,Rubus ursinus,trailing blackberry
37.7420708584,-122.4433716015,5,Sambucus racemosa,red-berried elder
37.7418788709,-122.443615934,5,Polystichum munitum,western sword fern
37.739734,-122.440306,5,Lomatium dasycarpum,woollyfruit desertparsley
37.740463,-122.44113,5,Sisyrinchium bellum,western blue-eyed grass
37.741879,-122.443616,5,Aquilegia formosa,western columbine
37.740475,-122.441073,5,Ranunculus californicus,California buttercup
37.738813,-122.44012,5,Taraxia ovata,Sun Cup
37.720865,-122.383312,5,Distichlis spicata,Saltgrass
37.779582,-122.509693,5,Erigeron glaucus,seaside daisy
37.779841,-122.509729,5,Eriogonum latifolium,Seaside Buckwheat
37.779934,-122.510844,5,Fragaria chiloensis,beach strawberry
37.779934,-122.510844,5,Armeria maritima californica,California Thrift
37.780292,-122.512937,5,Artemisia pycnocephala,coastal sagewort
37.780511,-122.51222,5,Marah fabacea,California manroot
37.780045,-122.511468,5,Phacelia californica,California phacelia
37.779777,-122.513171,28359,Erythranthe guttata,seep monkeyflower
37.779629,-122.51235,5,Morella californica,Pacific Wax myrtle
37.779612,-122.512391,5,Eriophyllum staechadifolium,seaside woolly sunflower
37.779612,-122.512391,5,Tanacetum bipinnatum,dune tansy
37.780673,-122.511925,5,Polygonum paronychia,beach knotweed
37.78184,-122.511823,5,Baccharis pilularis,coyote brush
37.7830792778,-122.5115326514,5,Claytonia perfoliata perfoliata,
37.784686,-122.506367,10,Toxicodendron diversilobum,Pacific poison oak
37.783424,-122.511224,5,Achillea millefolium,common yarrow
37.7874147753,-122.4987907336,5,Equisetum telmateia braunii,Braun's Giant Horsetail
37.787374,-122.498636,5,Stachys bullata,California Hedge Nettle
37.786658,-122.496383,5,Lathyrus vestitus,Pacific pea
37.787811,-122.483391,5,Lupinus chamissonis,Chamisso Bush Lupine
